,centrality,similarity,auc-roc,auc-prc
0,degree_Centrality,common_Neighbours,0.6893493793302541,0.06838836107089505
1,degree_Centrality,jaccard_Coefficient,0.6947261114318707,0.10117595600717882
2,degree_Centrality,adamicAdar,0.6921460017321016,0.06613104849352798
3,degree_Centrality,preferential_Attachment,0.573397806004619,0.025092074115825085
4,degree_Centrality,salton,0.6927053262124712,0.09836551926300163
5,closeness_Centrality,common_Neighbours,0.6874188077367206,0.06423108501454051
6,closeness_Centrality,jaccard_Coefficient,0.6911085450346421,0.0640355874220821
7,closeness_Centrality,adamicAdar,0.6934811633949192,0.0639478744045681
8,closeness_Centrality,preferential_Attachment,0.5751118648960739,0.025270600759778383
9,closeness_Centrality,salton,0.6866519919168592,0.05577927959779799
10,betweenness_Centrality,common_Neighbours,0.7027912095842956,0.06463964473847696
11,betweenness_Centrality,jaccard_Coefficient,0.7066703954965359,0.07964359027681128
12,betweenness_Centrality,adamicAdar,0.7036031322170901,0.06407787071196344
13,betweenness_Centrality,preferential_Attachment,0.6032494948036952,0.024269130274514397
14,betweenness_Centrality,salton,0.7068327800230947,0.07263628561601419
15,page_Rank,common_Neighbours,0.6908108400692841,0.07072770106181062
16,page_Rank,jaccard_Coefficient,0.7006080398383372,0.10647227707645213
17,page_Rank,adamicAdar,0.6942930860277137,0.06955417603223824
18,page_Rank,preferential_Attachment,0.5798661229792147,0.025389916528334187
19,page_Rank,salton,0.6979918446882217,0.10722962685889166
20,h_Index,common_Neighbours,0.6873105513856813,0.06460394221011295
21,h_Index,jaccard_Coefficient,0.6929940098152425,0.07711541087698773
22,h_Index,adamicAdar,0.6912979936489608,0.06657832196677102
23,h_Index,preferential_Attachment,0.56983436778291,0.023772061513915886
24,h_Index,salton,0.6911085450346421,0.07862186051025113
25,k_Shell,common_Neighbours,0.6880863885681294,0.06392285707028621
26,k_Shell,jaccard_Coefficient,0.6937427829099307,0.09732862935919007
27,k_Shell,adamicAdar,0.6923625144341802,0.06689156021250174
28,k_Shell,preferential_Attachment,0.5717468966512702,0.02544942806240845
29,k_Shell,salton,0.6915145063510393,0.09728143991801846
30,coreness,common_Neighbours,0.6863001587759816,0.06468234256048332
31,coreness,jaccard_Coefficient,0.685903218822171,0.09399578156674357
32,coreness,adamicAdar,0.689078738452656,0.0632296589425008
33,coreness,preferential_Attachment,0.5640426530023095,0.026638595289975017
34,coreness,salton,0.6828449769053119,0.09644159844842956
